# ./data/final-template//L101_FinalTemplate.csv,,,,,,,,,,,,,,,
# Written by L101_compile_template.R,,,,,,,,,,,,,,,
# Mon Sep 12 10:00:56 2016,,,,,,,,,,,,,,,
"# "" GCAM Data for Import into the IIASA Database """,,,,,,,,,,,,,,,
"# "" Various """,,,,,,,,,,,,,,,
model,scenario,region,Variable,Unit,X2005,X2010,X2020,X2030,X2040,X2050,X2060,X2070,X2080,X2090,X2100
GCAM,Paris,Africa_Eastern,Final Energy|Gases,EJ/yr,0.00153791,0.00491755,0.031144931,0.075911838,0.142811363,0.248221529,0.39136622,0.582193703,0.824431526,1.130675726,1.514995449
GCAM,Paris,Africa_Eastern,Final Energy|Heat,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
GCAM,Paris,Africa_Eastern,Final Energy|Hydrogen,EJ/yr,0,0,0.005486565,0.017500646,0.041341109,0.096869503,0.171880011,0.287146052,0.421182784,0.578410597,0.737246328
GCAM,Paris,Africa_Eastern,Final Energy|Industry,EJ/yr,0.714545897,0.83623358,1.654915903,2.41772658,3.402326363,4.668306723,6.453628428,8.485047571,10.33372396,11.64887365,12.32103464
GCAM,Paris,Africa_Eastern,Final Energy|Industry|Electricity,EJ/yr,0.02265804,0.0285127,0.09903087,0.16879115,0.29748569,0.5402346,0.9230898,1.4420225,1.9860492,2.450619,2.8562397
GCAM,Paris,Africa_Eastern,Final Energy|Industry|Gases,EJ/yr,0.00153791,0.00491755,0.017118023,0.03238377,0.046937073,0.063813523,0.078804828,0.089753371,0.095807263,0.100399054,0.102722235
GCAM,Paris,Africa_Eastern,Final Energy|Industry|Hydrogen,EJ/yr,0,0,0.00545711,0.01726616,0.0406136,0.0949823,0.1669054,0.275778,0.398074,0.536774,0.670052
GCAM,Paris,Africa_Eastern,Final Energy|Industry|Liquids,EJ/yr,0.081563867,0.1206729,0.290291,0.4659363,0.7238725,1.1713241,1.862771,2.74386,3.685666,4.499653,5.095783
GCAM,Paris,Africa_Eastern,Final Energy|Industry|Solids,EJ/yr,0.60878608,0.68213043,1.2430189,1.7333492,2.2934175,2.7979522,3.4220574,3.9336337,4.1681275,4.0614286,3.5962377
GCAM,Paris,Africa_Eastern,Final Energy|Liquids,EJ/yr,0.442168823,0.608560924,1.066112688,1.452885574,1.952156011,2.76726249,4.080896804,5.829887025,7.886646262,9.965497015,11.81684377
GCAM,Paris,Africa_Eastern,Final Energy|Residential and Commercial,EJ/yr,2.34415248,3.006249479,3.377450729,3.65561014,3.856729201,4.007613425,4.091767411,4.283847523,4.658297681,5.172927923,5.800203995
GCAM,Paris,Africa_Eastern,Final Energy|Residential and Commercial|Electricity,EJ/yr,0.03374176,0.05263095,0.14472715,0.2394945,0.3991287,0.6637752,1.0862905,1.6955142,2.4336259,3.2306147,4.076012
GCAM,Paris,Africa_Eastern,Final Energy|Residential and Commercial|Gases,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
GCAM,Paris,Africa_Eastern,Final Energy|Residential and Commercial|Heat,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
GCAM,Paris,Africa_Eastern,Final Energy|Residential and Commercial|Liquids,EJ/yr,0.06626972,0.07425673,0.14499418,0.19630132,0.24744267,0.33720902,0.46971738,0.61441663,0.7533332,0.8507545,0.8829105
GCAM,Paris,Africa_Eastern,Final Energy|Residential and Commercial|Solids,EJ/yr,0.225248,0.282652799,0.411336399,0.47928632,0.484772831,0.399186205,0.343613531,0.280419693,0.220911581,0.167286723,0.113727495
GCAM,Paris,Africa_Eastern,Final Energy|Solids,EJ/yr,0.83403408,0.964783229,1.654355299,2.21263552,2.778190331,3.197138405,3.765670931,4.214053393,4.389039081,4.228715323,3.709965195
GCAM,Paris,Africa_Eastern,Final Energy|Solids|Biomass,EJ/yr,2.84878545,3.55550948,4.3166556,4.9395819,5.4914853,5.7900698,5.9384019,5.886384,5.6183856,5.132898,4.4194427
GCAM,Paris,Africa_Eastern,Final Energy|Solids|Biomass|Traditional,EJ/yr,2.018893,2.596709,2.676393,2.740528,2.725385,2.607443,2.192146,1.693497,1.250427,0.924272,0.727554
GCAM,Paris,Africa_Eastern,Final Energy|Solids|Coal,EJ/yr,0.00414163,0.005982749,0.014092699,0.01358162,0.012090031,0.014511605,0.019415031,0.021166393,0.021080481,0.020089323,0.018076495
GCAM,Paris,Africa_Eastern,Final Energy|Transportation,EJ/yr,0.294352836,0.413649094,0.645080702,0.83492196,1.078473409,1.446819061,2.06917733,2.981288619,4.210627391,5.709411003,7.358890554
GCAM,Paris,Africa_Eastern,Final Energy|Transportation|Electricity,EJ/yr,1.76E-05,1.78E-05,0.000196831,0.000511452,0.001030769,0.001794482,0.003232903,0.00586984,0.011247282,0.022408219,0.041272745
GCAM,Paris,Africa_Eastern,Final Energy|Transportation|Freight,EJ/yr,0,0,0,0,0,0,0,0,0,0,0
GCAM,Paris,Africa_Eastern,Final Energy|Transportation|Gases,EJ/yr,0,0,0.014026908,0.043528068,0.09587429,0.184408006,0.312561392,0.492440332,0.728624263,1.030276672,1.412273214
